"Zip","Latitude","Longitude","LatLong","StateCode"
"98009",47.610600,-122.199700,"47.610600:-122.199700","WA"
"98010",47.314240,-121.994964,"47.314240:-121.994964","WA"
"98011",47.750280,-122.204651,"47.750280:-122.204651","WA"
"98012",47.844717,-122.198488,"47.844717:-122.198488","WA"
"98014",47.652719,-121.897786,"47.652719:-121.897786","WA"
"98015",47.610600,-122.199700,"47.610600:-122.199700","WA"
"98019",47.733200,-121.799327,"47.733200:-121.799327","WA"
"98020",47.806122,-122.375454,"47.806122:-122.375454","WA"
"98021",47.796364,-122.205166,"47.796364:-122.205166","WA"
"98023",47.303898,-122.375736,"47.303898:-122.375736","WA"
"98024",47.615395,-121.782440,"47.615395:-121.782440","WA"
"98026",47.835642,-122.325836,"47.835642:-122.325836","WA"
"98027",47.496383,-121.990901,"47.496383:-121.990901","WA"
"98028",47.754876,-122.247104,"47.754876:-122.247104","WA"
"98029",47.559603,-122.023950,"47.559603:-122.023950","WA"
"98030",47.362358,-122.198280,"47.362358:-122.198280","WA"
"98031",47.413900,-122.198090,"47.413900:-122.198090","WA"
"98032",47.392329,-122.264592,"47.392329:-122.264592","WA"
"98033",47.673156,-122.197628,"47.673156:-122.197628","WA"
"98034",47.715193,-122.210637,"47.715193:-122.210637","WA"
"98036",47.804768,-122.286194,"47.804768:-122.286194","WA"
"98037",47.838804,-122.288414,"47.838804:-122.288414","WA"
"98038",47.403768,-122.005863,"47.403768:-122.005863","WA"
"98039",47.627636,-122.243170,"47.627636:-122.243170","WA"
"98040",47.565229,-122.233149,"47.565229:-122.233149","WA"
"98042",47.364511,-122.102081,"47.364511:-122.102081","WA"
"98043",47.792222,-122.307210,"47.792222:-122.307210","WA"
"98045",47.461032,-121.544749,"47.461032:-121.544749","WA"
"98046",47.821300,-122.313800,"47.821300:-122.313800","WA"
"98052",47.680496,-122.120938,"47.680496:-122.120938","WA"
"98053",47.661044,-122.020607,"47.661044:-122.020607","WA"
"98055",47.451080,-122.196316,"47.451080:-122.196316","WA"
"98056",47.508872,-122.194960,"47.508872:-122.194960","WA"
"98057",47.472721,-122.218338,"47.472721:-122.218338","WA"
"98058",47.435088,-122.116522,"47.435088:-122.116522","WA"
"98059",47.504128,-122.109663,"47.504128:-122.109663","WA"
"98062",47.469600,-122.360500,"47.469600:-122.360500","WA"
"98065",47.569345,-121.777016,"47.569345:-121.777016","WA"
"98072",47.769045,-122.130250,"47.769045:-122.130250","WA"
"98074",47.628788,-122.042372,"47.628788:-122.042372","WA"
"98075",47.588294,-122.034863,"47.588294:-122.034863","WA"
"98077",47.752374,-122.058564,"47.752374:-122.058564","WA"
"98082",47.751100,-122.212800,"47.751100:-122.212800","WA"
"98087",47.867462,-122.263248,"47.867462:-122.263248","WA"
"98092",47.289850,-122.109621,"47.289850:-122.109621","WA"
"98101",47.611012,-122.333523,"47.611012:-122.333523","WA"
"98102",47.635749,-122.324362,"47.635749:-122.324362","WA"
"98103",47.670294,-122.348306,"47.670294:-122.348306","WA"
"98104",47.602134,-122.328431,"47.602134:-122.328431","WA"
"98105",47.660400,-122.280530,"47.660400:-122.280530","WA"
"98106",47.547734,-122.352668,"47.547734:-122.352668","WA"
"98107",47.664823,-122.383784,"47.664823:-122.383784","WA"
"98108",47.541083,-122.313312,"47.541083:-122.313312","WA"
"98109",47.634444,-122.341900,"47.634444:-122.341900","WA"
"98110",47.647614,-122.535452,"47.647614:-122.535452","WA"
"98112",47.631975,-122.287411,"47.631975:-122.287411","WA"
"98115",47.683612,-122.278022,"47.683612:-122.278022","WA"
"98116",47.576292,-122.400639,"47.576292:-122.400639","WA"
"98117",47.688575,-122.384168,"47.688575:-122.384168","WA"
"98118",47.541963,-122.267649,"47.541963:-122.267649","WA"
"98119",47.638984,-122.369214,"47.638984:-122.369214","WA"
"98122",47.613527,-122.297335,"47.613527:-122.297335","WA"
"98125",47.715789,-122.293458,"47.715789:-122.293458","WA"
"98126",47.551780,-122.372222,"47.551780:-122.372222","WA"
"98133",47.739569,-122.344948,"47.739569:-122.344948","WA"
"98136",47.536030,-122.393154,"47.536030:-122.393154","WA"
"98144",47.583944,-122.291488,"47.583944:-122.291488","WA"
"98146",47.500346,-122.363335,"47.500346:-122.363335","WA"
"98148",47.446545,-122.321828,"47.446545:-122.321828","WA"
"98155",47.755304,-122.295911,"47.755304:-122.295911","WA"
"98166",47.447958,-122.358397,"47.447958:-122.358397","WA"
"98168",47.490110,-122.291531,"47.490110:-122.291531","WA"
"98177",47.739168,-122.375316,"47.739168:-122.375316","WA"
"98178",47.496368,-122.251943,"47.496368:-122.251943","WA"
"98188",47.448210,-122.277851,"47.448210:-122.277851","WA"
"98198",47.382298,-122.310740,"47.382298:-122.310740","WA"
"98199",47.651422,-122.406207,"47.651422:-122.406207","WA"
"98201",47.990834,-122.199021,"47.990834:-122.199021","WA"
"98203",47.945521,-122.239661,"47.945521:-122.239661","WA"
"98204",47.898328,-122.260710,"47.898328:-122.260710","WA"
"98206",48.013100,-122.320200,"48.013100:-122.320200","WA"
"98208",47.900800,-122.194521,"47.900800:-122.194521","VA"
"98208",47.900800,-122.194521,"47.900800:-122.194521","WA"
"98223",48.180566,-121.951264,"48.180566:-121.951264","WA"
"98226",48.790826,-122.464204,"48.790826:-122.464204","WA"
"98236",47.956158,-122.417732,"47.956158:-122.417732","WA"
"98238",48.319658,-122.353437,"48.319658:-122.353437","WA"
"98249",48.027238,-122.542416,"48.027238:-122.542416","WA"
"98252",48.048951,-121.749054,"48.048951:-121.749054","WA"
"98258",48.048586,-122.059596,"48.048586:-122.059596","WA"
"98260",48.040235,-122.414566,"48.040235:-122.414566","WA"
"98270",48.056192,-122.161521,"48.056192:-122.161521","WA"
"98271",48.089312,-122.237439,"48.089312:-122.237439","WA"
"98272",47.873950,-121.889982,"47.873950:-121.889982","WA"
"98273",48.396978,-122.358748,"48.396978:-122.358748","WA"
"98275",47.913148,-122.303782,"47.913148:-122.303782","WA"
"98282",48.162650,-122.447717,"48.162650:-122.447717","WA"
"98287",48.202600,-122.252600,"48.202600:-122.252600","WA"
"98290",47.942667,-122.013759,"47.942667:-122.013759","WA"
"98291",47.913200,-122.096600,"47.913200:-122.096600","WA"
"98292",48.205150,-122.301139,"48.205150:-122.301139","WA"
"98296",47.851802,-122.098201,"47.851802:-122.098201","WA"
"98310",47.594289,-122.626472,"47.594289:-122.626472","WA"
"98311",47.630698,-122.637680,"47.630698:-122.637680","WA"
"98312",47.577151,-122.757732,"47.577151:-122.757732","WA"
"98340",47.912226,-122.570534,"47.912226:-122.570534","WA"
"98359",47.433020,-122.577411,"47.433020:-122.577411","WA"
"98366",47.544920,-122.581523,"47.544920:-122.581523","WA"
"98367",47.466162,-122.648176,"47.466162:-122.648176","WA"
"98370",47.754262,-122.620321,"47.754262:-122.620321","WA"
"98372",47.211534,-122.254921,"47.211534:-122.254921","WA"
"98418",47.224040,-122.446374,"47.224040:-122.446374","WA"
"98422",47.289478,-122.389582,"47.289478:-122.389582","WA"
"98466",47.228909,-122.541416,"47.228909:-122.541416","WA"
"98467",47.199302,-122.543195,"47.199302:-122.543195","WA"
"98616",46.084956,-122.302858,"46.084956:-122.302858","HI"
"98901",46.674800,-120.336803,"46.674800:-120.336803","WA"
"99126",48.730056,-117.946548,"48.730056:-117.946548","WA"
